SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;9.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;119.49140564805897;447.0;781.0;-8.086601908529232
3.0;9.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;79.58238209601237;397.0;678.0;-8.086601908529232
3.0;9.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;39.711572433472426;522.0;954.0;-9.494885361552024
3.0;9.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;44.44335985827165;607.0;1167.0;-11.28268877934745
3.0;9.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;102.01760661593237;488.0;802.0;-8.086601908529232
3.0;9.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;124.3518968276141;409.0;691.0;-8.17293897445154
3.0;9.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;142.6004783286686;434.0;764.0;-8.086601908529232
3.0;9.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;64.22601087794087;604.0;1168.0;-11.28268877934745
3.0;9.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;81.78357673796167;515.0;808.0;-8.683774250440914
3.0;9.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;109.83950743200039;425.0;697.0;-8.086601908529232
3.0;9.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;120.60127939883186;370.0;543.0;-8.086601908529232
3.0;9.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;107.43708000490382;503.0;963.0;-9.494885361552024
3.0;9.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;80.0241528905543;561.0;874.0;-8.683774250440914
3.0;9.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;108.28934776128155;484.0;752.0;-8.683774250440914
3.0;9.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;110.16706523043908;380.0;595.0;-8.086601908529232
3.0;9.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;151.91484929249597;305.0;515.0;-7.622062660113355
3.0;12.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;109.02874593318651;552.0;927.0;-8.39601300273108
3.0;12.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;112.59671005086888;461.0;788.0;-8.39601300273108
3.0;12.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;93.57371232755105;516.0;940.0;-9.494885361552024
